WL,R,RA,Hits,TB,SO,HomeAway,DayNight 
0,3,5,2,4,10,1,1
1,5,1,7,13,12,1,1
1,4,3,3,7,7,1,1
1,5,3,5,17,12,1,0
0,0,4,1,2,12,1,0
0,2,4,3,6,10,1,1
1,4,2,11,21,10,0,1
0,2,8,8,10,11,0,0
0,1,7,5,8,10,0,1
0,3,6,4,8,10,0,0
1,3,2,6,9,5,0,0
0,0,7,4,6,11,0,1
0,2,5,6,9,7,1,1
1,13,4,14,36,6,1,1
0,4,13,10,20,7,1,0
1,3,1,4,4,9,1,0
1,16,4,13,18,6,1,0
1,4,3,6,9,11,1,0
1,15,2,17,37,9,1,1
0,3,4,8,13,12,1,1
0,0,6,4,5,12,1,1
0,7,8,6,13,8,0,0
0,0,5,2,2,13,0,0
0,0,10,5,7,6,0,0
1,9,3,16,23,7,0,0
0,6,8,10,16,12,0,0
1,3,2,9,11,12,0,1
0,12,13,14,33,9,0,1
1,7,1,6,11,6,1,1
1,4,3,8,17,10,1,0
1,6,5,7,12,14,1,0
1,3,2,9,9,3,1,1
1,3,2,5,5,7,1,1
0,5,6,6,8,10,1,1
0,2,3,5,11,9,0,0
0,1,2,9,11,9,0,1
1,4,2,9,14,5,0,0
0,8,9,11,19,14,0,1
1,5,1,10,16,9,0,1
1,7,3,13,23,8,1,0
1,6,3,13,19,7,1,0
0,3,4,8,12,7,1,0
1,5,2,10,16,14,1,1
1,12,3,12,19,7,0,0
0,1,2,5,5,7,0,0
1,2,1,3,6,7,0,0
1,4,3,11,19,13,0,0
1,4,1,10,14,12,0,0
1,5,3,10,18,7,0,1
1,1,0,3,6,9,1,1
1,10,2,13,16,9,1,1
0,1,5,4,4,7,1,1
1,7,2,10,28,8,1,1
1,4,3,9,18,1,1,0
1,6,1,9,16,10,1,1
0,2,7,5,9,9,0,0
0,5,8,5,14,9,0,0
0,3,4,4,7,9,0,1
1,4,3,8,16,7,0,1
0,4,9,7,10,11,0,0
1,7,1,7,18,9,0,0
1,3,1,4,10,11,0,1
1,8,5,10,22,8,1,1
1,7,2,5,14,4,1,0
1,2,0,5,6,6,1,0
0,2,5,3,9,6,0,0
0,2,3,7,10,11,0,0
0,3,6,3,9,4,0,0
1,2,0,4,8,11,0,0
0,2,10,4,11,8,1,0
0,1,11,3,7,9,1,1
1,2,0,4,4,8,1,1
0,0,4,6,9,13,1,0
1,7,1,8,20,6,1,0
1,4,0,8,14,7,0,0
0,2,6,5,8,6,0,0
0,2,3,7,12,11,0,1
0,1,7,4,8,12,0,1
0,4,14,5,12,5,0,0
0,1,2,6,9,10,0,0
0,7,15,8,8,9,0,1
0,1,2,6,8,12,0,0
0,2,3,7,12,9,0,1
0,2,3,11,14,7,0,1
0,3,13,8,15,3,1,0
0,10,15,14,26,12,1,0
1,8,3,10,13,8,1,0
0,0,8,5,5,8,1,0
1,10,5,12,19,5,1,1
0,0,6,6,7,7,1,0
1,5,1,8,17,10,0,0
1,4,2,7,12,9,0,1
0,4,6,7,11,4,0,1
0,3,8,9,14,10,0,0
1,7,6,6,7,11,0,0
0,2,3,8,14,9,0,0
0,2,3,3,4,9,0,0
1,8,3,8,18,12,1,1
0,3,7,7,14,4,1,1
1,5,1,6,15,8,1,1
1,6,5,12,19,12,1,0
0,4,7,8,20,10,1,0
0,2,8,8,10,4,1,0
0,4,7,8,17,7,1,1
0,3,4,8,11,3,0,0
1,6,3,9,14,8,0,0
0,5,6,5,14,6,0,1
0,6,13,8,14,7,0,0
1,3,2,10,11,5,0,0
0,5,6,9,11,5,0,1
0,6,8,10,18,14,1,1
0,0,4,5,6,9,1,1
0,3,9,6,7,10,1,0
0,2,4,8,9,4,1,1
0,3,6,7,11,5,1,0
0,0,10,4,4,9,1,0
0,4,17,8,15,9,1,1
0,10,14,18,36,11,0,0
0,4,5,7,9,10,0,0
0,1,4,7,11,8,0,1
0,5,14,10,13,7,0,0
1,2,1,11,16,10,0,0
1,7,1,12,23,7,0,1
0,2,6,5,8,8,1,1
0,2,4,1,4,12,1,1
0,1,9,5,6,8,1,1
1,6,4,9,15,6,1,0
1,5,2,8,19,13,1,1
0,10,13,11,15,2,1,1
0,13,17,13,28,3,0,0
1,7,0,9,18,3,0,0
0,1,13,5,10,8,0,1
1,3,1,7,16,6,0,0
1,3,0,4,8,8,0,0
1,6,5,13,21,13,1,0
1,6,5,11,19,13,1,1
1,7,6,11,16,7,1,1
1,11,8,13,25,8,1,1
1,4,3,7,12,6,1,1
0,3,4,8,18,7,1,0
1,4,1,4,10,8,1,0
0,1,6,2,5,7,1,1
0,4,15,11,14,9,1,1
0,5,6,10,19,9,1,1
1,6,3,9,20,8,0,0
0,5,6,8,19,5,0,0
0,8,17,10,17,6,0,0
0,5,8,11,14,9,0,0
0,4,6,8,14,8,0,0
1,6,4,7,15,2,0,1
0,5,9,11,18,11,1,0
0,4,5,7,9,8,1,0
0,5,8,6,12,8,1,1
0,4,12,7,13,8,1,0
0,5,8,11,18,8,1,1
0,2,4,8,9,11,1,1
0,6,8,12,14,6,0,0
1,3,2,10,14,6,0,0
1,9,0,13,21,8,0,0
0,3,4,8,12,7,0,0
1,6,5,9,16,11,0,0
1,3,2,6,8,3,0,1
